Sample ID #	Tissue types	Replicates	Tree no.	Time points	Cultivar	Treatment 
P1T1_1ch	Pulp	1	Tree1	Day 0	Jonathan	Chitosan
P1T2_1ch	Pulp	1	Tree2	Day 0	Jonathan	Chitosan
P1T3_1ch	Pulp	1	Tree3	Day 0	Jonathan	Chitosan
P2T1_1ch	Pulp	2	Tree1	Day 0	Jonathan	Chitosan
P2T2_1ch	Pulp	2	Tree2	Day 0	Jonathan	Chitosan
P2T3_1ch	Pulp	2	Tree3	Day 0	Jonathan	Chitosan
P3T1_1ch	Pulp	3	Tree1	Day 0	Jonathan	Chitosan
P3T2_1ch	Pulp	3	Tree2	Day 0	Jonathan	Chitosan
P3T3_1ch	Pulp	3	Tree3	Day 0	Jonathan	Chitosan
S1T1_1ch	Skin	1	Tree1	Day 0	Jonathan	Chitosan
S1T2_1ch	Skin	1	Tree2	Day 0	Jonathan	Chitosan
S1T3_1ch	Skin	1	Tree3	Day 0	Jonathan	Chitosan
S2T1_1ch	Skin	2	Tree1	Day 0	Jonathan	Chitosan
S2T2_1ch	Skin	2	Tree2	Day 0	Jonathan	Chitosan
S2T3_1ch	Skin	2	Tree3	Day 0	Jonathan	Chitosan
S3T1_1ch	Skin	3	Tree1	Day 0	Jonathan	Chitosan
S3T2_1ch	Skin	3	Tree2	Day 0	Jonathan	Chitosan
S3T3_1ch	Skin	3	Tree3	Day 0	Jonathan	Chitosan
P1T1_1G	Pulp	1	Tree1	Day 0	Gala	untreated
P1T2_1G	Pulp	1	Tree2	Day 0	Gala	untreated
P1T3_1G	Pulp	1	Tree3	Day 0	Gala	untreated
P2T1_1G	Pulp	2	Tree1	Day 0	Gala	untreated
P2T2_1G	Pulp	2	Tree2	Day 0	Gala	untreated
P2T3_1G	Pulp	2	Tree3	Day 0	Gala	untreated
P3T1_1G	Pulp	3	Tree1	Day 0	Gala	untreated
P3T2_1G	Pulp	3	Tree2	Day 0	Gala	untreated
P3T3_1G	Pulp	3	Tree3	Day 0	Gala	untreated
P4T1_1G	Pulp	4	Tree1	Day 0	Gala	untreated
P4T2_1G	Pulp	4	Tree2	Day 0	Gala	untreated
P4T3_1G	Pulp	4	Tree3	Day 0	Gala	untreated
P5T1_1G	Pulp	5	Tree1	Day 0	Gala	untreated
P5T2_1G	Pulp	5	Tree2	Day 0	Gala	untreated
P5T3_1G	Pulp	5	Tree3	Day 0	Gala	untreated
S1T1_1G	Skin	1	Tree1	Day 0	Gala	untreated
S1T2_1G	Skin	1	Tree2	Day 0	Gala	untreated
S1T3_1G	Skin	1	Tree3	Day 0	Gala	untreated
S2T1_1G	Skin	2	Tree1	Day 0	Gala	untreated
S2T2_1G	Skin	2	Tree2	Day 0	Gala	untreated
S2T3_1G	Skin	2	Tree3	Day 0	Gala	untreated
S3T1_1G	Skin	3	Tree1	Day 0	Gala	untreated
S3T2_1G	Skin	3	Tree2	Day 0	Gala	untreated
S3T3_1G	Skin	3	Tree3	Day 0	Gala	untreated
S4T1_1G	Skin	4	Tree1	Day 0	Gala	untreated
S4T2_1G	Skin	4	Tree2	Day 0	Gala	untreated
S4T3_1G	Skin	4	Tree3	Day 0	Gala	untreated
S5T1_1G	Skin	5	Tree1	Day 0	Gala	untreated
S5T2_1G	Skin	5	Tree2	Day 0	Gala	untreated
S5T3_1G	Skin	5	Tree3	Day 0	Gala	untreated
P1T1_1J	Pulp	1	Tree1	Day 0	Jonathan	untreated
